,frame,dominant_emotion,emotion_scores
48,49,neutral,"{'angry': np.float32(0.53168285), 'disgust': np.float32(3.6384927e-06), 'fear': np.float32(4.1814733), 'happy': np.float32(0.052640866), 'sad': np.float32(6.4031396), 'surprise': np.float32(0.0006847034), 'neutral': np.float32(88.830376)}"
49,50,happy,"{'angry': np.float32(13.99776), 'disgust': np.float32(4.9395885e-07), 'fear': np.float32(0.08563769), 'happy': np.float32(85.857216), 'sad': np.float32(0.012863495), 'surprise': np.float32(8.979866e-05), 'neutral': np.float32(0.046436988)}"
50,51,happy,"{'angry': np.float32(32.63316), 'disgust': np.float32(4.8110355e-06), 'fear': np.float32(0.039714355), 'happy': np.float32(66.91204), 'sad': np.float32(0.046306964), 'surprise': np.float32(0.00011520692), 'neutral': np.float32(0.36866865)}"
51,52,neutral,"{'angry': np.float32(0.022881825), 'disgust': np.float32(6.7933056e-13), 'fear': np.float32(0.003644197), 'happy': np.float32(0.00036851378), 'sad': np.float32(0.24375412), 'surprise': np.float32(1.6918708e-06), 'neutral': np.float32(99.72935)}"
52,53,sad,"{'angry': np.float32(4.3161025), 'disgust': np.float32(8.7595754e-07), 'fear': np.float32(8.9653015), 'happy': np.float32(0.0058805714), 'sad': np.float32(69.719124), 'surprise': np.float32(0.0015874023), 'neutral': np.float32(16.992008)}"
53,54,sad,"{'angry': np.float32(0.0016492306), 'disgust': np.float32(2.6004472e-09), 'fear': np.float32(0.027118953), 'happy': np.float32(4.611774e-06), 'sad': np.float32(99.86263), 'surprise': np.float32(3.3703904e-07), 'neutral': np.float32(0.108593956)}"
54,55,sad,"{'angry': np.float32(0.0008160344), 'disgust': np.float32(3.9430284e-10), 'fear': np.float32(0.003324827), 'happy': np.float32(1.9295978e-06), 'sad': np.float32(99.99307), 'surprise': np.float32(2.826531e-10), 'neutral': np.float32(0.002781881)}"
55,56,happy,"{'angry': np.float32(0.14288384), 'disgust': np.float32(5.115556e-07), 'fear': np.float32(0.041216757), 'happy': np.float32(99.78172), 'sad': np.float32(0.003003749), 'surprise': np.float32(0.00032803923), 'neutral': np.float32(0.030845104)}"
56,57,happy,"{'angry': np.float32(0.019311402), 'disgust': np.float32(3.3355858e-09), 'fear': np.float32(0.26886317), 'happy': np.float32(99.69369), 'sad': np.float32(0.00036350705), 'surprise': np.float32(0.0009031297), 'neutral': np.float32(0.016860805)}"
57,58,happy,"{'angry': np.float32(0.0037179568), 'disgust': np.float32(3.575203e-11), 'fear': np.float32(0.1651691), 'happy': np.float32(99.82655), 'sad': np.float32(4.5251436e-05), 'surprise': np.float32(0.0002895014), 'neutral': np.float32(0.004210933)}"
58,59,happy,"{'angry': np.float32(0.00093277777), 'disgust': np.float32(1.7083145e-13), 'fear': np.float32(0.047570962), 'happy': np.float32(99.9508), 'sad': np.float32(2.1757887e-06), 'surprise': np.float32(8.775167e-05), 'neutral': np.float32(0.00059629267)}"
59,60,happy,"{'angry': np.float32(0.0032383148), 'disgust': np.float32(1.3209556e-12), 'fear': np.float32(0.061507948), 'happy': np.float32(99.93385), 'sad': np.float32(4.8701836e-06), 'surprise': np.float32(0.00031532472), 'neutral': np.float32(0.0010691108)}"
60,61,happy,"{'angry': np.float32(0.024534533), 'disgust': np.float32(1.1948742e-11), 'fear': np.float32(3.5432258), 'happy': np.float32(96.40105), 'sad': np.float32(2.6687087e-05), 'surprise': np.float32(0.02527911), 'neutral': np.float32(0.005888462)}"
61,62,sad,"{'angry': np.float32(6.9097257), 'disgust': np.float32(1.836147e-07), 'fear': np.float32(1.5556545), 'happy': np.float32(0.0019986695), 'sad': np.float32(45.82747), 'surprise': np.float32(0.00036973957), 'neutral': np.float32(45.70478)}"
62,63,happy,"{'angry': np.float32(0.28209373), 'disgust': np.float32(6.9156365e-09), 'fear': np.float32(1.5516864), 'happy': np.float32(97.91353), 'sad': np.float32(7.3358104e-05), 'surprise': np.float32(0.2481789), 'neutral': np.float32(0.0044299485)}"
63,64,neutral,"{'angry': np.float32(1.4324421), 'disgust': np.float32(4.3814913e-07), 'fear': np.float32(0.7384325), 'happy': np.float32(0.017189294), 'sad': np.float32(6.683185), 'surprise': np.float32(0.0013113035), 'neutral': np.float32(91.12743)}"
64,65,neutral,"{'angry': np.float32(0.308433), 'disgust': np.float32(2.9899297e-08), 'fear': np.float32(0.29739916), 'happy': np.float32(0.008474758), 'sad': np.float32(4.4736204), 'surprise': np.float32(0.00020026552), 'neutral': np.float32(94.91187)}"
